Field	Type	Null	Key	Default	Extra
id	varchar(50)	NO	PRI	NULL	
name	varchar(255)	NO		NULL	
type	varchar(100)	YES		NULL	
location	varchar(255)	YES		NULL	
manufacturer	varchar(100)	YES		NULL	
serial_number	varchar(100)	YES		NULL	
purchase_date	date	YES		NULL	
last_inspection	date	YES		NULL	
next_inspection	date	YES		NULL	
status	enum('active','inactive','defect')	YES		active	
notes	text	YES		NULL	
created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
